date,ecommerce_sales,wage,employment_rate,cpi
2017-01,1236885,967.02,61.4,130.1
2017-02,1212033,964.51,61.5,129.9
2017-03,1255537,966.94,61.6,129.7
2017-04,1281690,971.17,61.6,130.1
2017-05,1262875,970.08,61.6,129.9
2017-06,1276594,972.01,61.8,129.9
2017-07,1363496,970.21,61.9,130.1
2017-08,1354108,976.68,61.8,130.4
2017-09,1323923,985.8,61.8,130.7
2017-10,1377141,983.8,61.8,130.9
2017-11,1452988,991.18,62,131.7
2017-12,1362086,992.22,62.2,131.8
2018-01,1449736,991.77,61.9,132.3
2018-02,1414219,998.95,61.8,132.6
2018-03,1440487,997.93,62,132.7
2018-04,1431354,993.24,61.8,132.8
2018-05,1478430,994.84,61.8,132.9
2018-06,1520146,1001.9,61.9,133.1
2018-07,1506466,1000.15,62,133.7
2018-08,1592465,1005.71,61.8,133.9
2018-09,1514096,1000.81,62,133.8
2018-10,1680675,1007.8,62,134.2
2018-11,1770165,1011.73,62.1,134
2018-12,1449053,1009.9,62.2,134.3
2019-01,1654977,1009.65,62.2,134.3
2019-02,1682044,1009.73,62.3,134.7
2019-03,1718040,1014.93,62.1,135.2
2019-04,1726614,1017.36,62.4,135.6
2019-05,1815197,1030.5,62.4,136
2019-06,1977594,1022.27,62.4,135.9
2019-07,2013074,1027.98,62.2,136.4
2019-08,1971331,1031.98,62.3,136.4
2019-09,1987014,1038.88,62.3,136.3
2019-10,1945389,1046.63,62.1,136.7
2019-11,1937081,1043.12,61.9,136.8
2019-12,2057275,1046.38,62.2,137.3
2020-01,2009310,1046.87,62.1,137.5
2020-02,2180212,1045.84,62.1,137.7
2020-03,2632279,1047.01,58.3,136.3
2020-04,4020251,1112.66,51.9,135.6
2020-05,4074010,1134.58,52.9,135.4
2020-06,3573099,1116.67,56.2,136.5
2020-07,3485623,1112.21,57.5,136.5
2020-08,3442861,1108.48,58.2,136.8
2020-09,3421654,1107.43,59.6,137.1
2020-10,3405942,1107.81,59.7,137.5
2020-11,3434353,1113.23,59.8,138
2020-12,3668498,1119.62,59.6,138.5
2021-01,4452353,1129.9,58.9,139.1
2021-02,4309066,1134.87,59.7,139.4
2021-03,4312928,1119.16,60.4,139.5
2021-04,4296378,1123.46,59.8,139.9
2021-05,4200905,1129.86,59.6,140.3
2021-06,4036578,1122.24,60.4,140.7
2021-07,3401628,1128.11,60.7,141.4
2021-08,3384926,1131.64,60.8,142.3
2021-09,3483423,1134.61,61.3,143.1
2021-10,3566364,1133.72,61.4,143.9
2021-11,3518835,1133.19,61.8,144.5
2021-12,3424575,1141.44,61.9,145.2
2022-01,3519399,1151.88,61.2,146.3
2022-02,3297313,1160.17,62.1,147.3
2022-03,3283183,1167.6,62.1,148.9
2022-04,3391901,1160.44,62.2,149.4
2022-05,3617008,1158.91,62.3,151.1
2022-06,3838656,1162.04,62.1,152.2
2022-07,3542598,1161.98,62.2,152.2
2022-08,3768344,1166.09,62,152.1
2022-09,3626138,1169.63,62,152.8
2022-10,3518532,1172.82,62.1,153.7
2022-11,3515244,1177.87,62.1,154.3
2022-12,3470883,1173.68,62.3,154.2
2023-01,3537895,1183.86,62.4,154.9
2023-02,3788072,1180.92,62.4,155.1
2023-03,3855926,1188.16,62.5,155.3
2023-04,3594990,1197.48,62.4,156.1
2023-05,3731053,1201.56,62.3,156.2
2023-06,3816544,1205.74,62.3,156.6
2023-07,3778880,1211.99,62.2,157.2
2023-08,3797772,1212.2,62.3,158.3
2023-09,3793314,1216.02,62.2,158.6
2023-10,3824461,1218.48,62.1,158.5
2023-11,3827765,1223.83,62,159
2023-12,3729733,1219.19,61.9,159.4
2024-01,3811509,1227.18,61.8,159.4
2024-02,3850788,1231.65,61.7,159.4
2024-03,3933794,1237.47,61.6,159.8
2024-04,4034012,1242.41,61.6,160.3
2024-05,3916457,1252.05,61.5,160.7
2024-06,3935057,1255.15,61.3,160.8
2024-07,4111058,1265.97,61.1,161.2
2024-08,4048242,1273.8,61.1,161.3
2024-09,4233666,1277.47,61,161.2
2024-10,4280085,1284.22,60.9,161.7
2024-11,4312518,1285.64,60.9,162
2024-12,4384814,1291.17,61.1,162.3
2025-01,4339182,1295.73,61.1,162.5
2025-02,4299807,1294.91,61,163.5
2025-03,4164401,1287.74,60.9,163.5
2025-04,4381151,1295.29,60.8,163.1
2025-05,4246492,1293.24,60.7,163.5
2025-06,4149896,1300.24,60.9,163.9
2025-07,4245392,1306.77,60.7,164
2025-08,4247428,1307.87,60.5,164.3
2025-09,4151399,1314.87,60.6,165
2025-10,4179883,1309.95,60.8,165.2
2025-11,4109507,1317.16,60.9,165.6
